labels,estimate,type,field_1,field_2,qr_1,qr_2,qr_3,qr_4,qr_5,vals
(Intercept),-3.111415388561756,term,NA,NA,-0.011785113019775792,-0.006804138174397893,-0.00962250448649352,0.016666666666666555,-0.0013167659752733737,NA
seasonSpring,1.5772363257564581,term,NA,Spring,-0,0.027216552697590872,0.009622504486491823,-0.016666666666665258,-0.0016759646764569719,NA
seasonSummmer,1.2869031986565551,term,NA,Summmer,-0,-0,0.028867513459481273,-0.016666666666665827,-0.0023901007002636613,NA
seasonWinter,1.7945327269225981,term,NA,Winter,0,0,0,-0.033333333333333354,-0.003601575113598609,NA
depdelay,1.0105916531029135,term,{{:}},NA,0,0,0,0,3.196033920566587e-4,NA
labels,0,variable,depdelay,season,NA,NA,NA,NA,NA,NA
model,NA,variable,NA,NA,NA,NA,NA,NA,NA,lm
version,NA,variable,NA,NA,NA,NA,NA,NA,NA,1.0
residual,NA,variable,NA,NA,NA,NA,NA,NA,NA,7195
sigma2,NA,variable,NA,NA,NA,NA,NA,NA,NA,204.888260594203
